transaction_pk,tag_id,user_id,car_model_id,car_name,txn_id,nominal_kwh,usable_kwh,label_soh_abs,label_soh,soc_min_full,soc_max_full,delta_soc_full,soc_min_20_80,soc_max_20_80,delta_soc_20_80,dsoc_dt_mean,dsoc_dt_max,start_ts,end_ts,connector,seq_len
22478,932,932,42,BYD Atto 3 Premium,22478,60.48,65.12094444444445,1.0767351925338038,1.05,5.0,100.0,95.0,20.0,80.0,60.0,0.0109289617486338,0.0166666666666666,2025-05-09 11:05:00,2025-05-09 13:23:00,702618,61
22480,evc1497,1497,46,BYD Han Performance,22480,85.44,98.53879166666668,1.153309827559301,1.05,11.0,86.0,75.0,20.0,80.0,60.0,0.0234972677595628,0.0333333333333333,2025-05-09 11:11:00,2025-05-09 12:11:00,363012,61
22498,evc1566,1566,46,BYD Han Performance,22498,85.44,98.0050763888889,1.1470631599823138,1.05,10.0,100.0,90.0,20.0,80.0,60.0,0.0263205828779599,0.0333333333333333,2025-05-09 14:32:00,2025-05-09 15:42:00,363012,61
22520,evc1694,1694,40,BYD Dolphin GLX,22520,44.9,48.957986111111104,1.0903783098243007,1.05,19.0,98.0,79.0,20.0,80.0,60.0,0.0348178506375227,0.05,2025-05-10 01:02:00,2025-05-10 01:54:00,1362798,61
22532,0CCC478B9622,1080,40,BYD Dolphin GLX,22532,44.9,58.20535950517568,1.2963331738346475,1.05,0.0,100.0,100.0,20.0,80.0,60.0,0.0387978141114456,0.3666666637526618,2025-05-10 02:51:00,2025-05-10 03:45:00,628886,61
22552,evc1711,1711,45,BYD M6 Performance,22552,55.4,21.70831996206288,0.3918469307231566,0.7,0.0,97.0,97.0,20.0,80.0,60.0,0.6390352057171823,0.9833334251576086,2025-05-10 05:15:00,2025-05-10 05:49:00,628886,61
22554,0CCC478CEE68,1571,45,BYD M6 Performance,22554,55.4,20.70918469198833,0.3738119980503309,0.7,0.0,100.0,100.0,20.0,80.0,60.0,0.692223955520387,1.0166667696833716,2025-05-10 05:53:00,2025-05-10 06:30:00,628886,61
22596,0399122532-tag,653,41,BYD Atto 3 Dynamic,22596,49.92,62.6981701388889,1.2559729595129987,1.05,2.0,100.0,98.0,20.0,80.0,60.0,0.0344899817850637,0.05,2025-05-10 12:20:00,2025-05-10 13:23:00,351898,61
22608,evc-1434,1434,44,BYD Seal Perfomance,22608,82.56,26.418788217741348,0.3199950123272934,0.7,0.0,100.0,100.0,20.0,80.0,60.0,0.5107368799559253,0.9000001502037299,2025-05-10 14:17:00,2025-05-10 15:02:00,628885,61
22612,0CCC478CED55,1374,40,BYD Dolphin GLX,22612,44.9,62.01169791666668,1.38110685783222,1.05,7.0,100.0,93.0,20.0,80.0,60.0,0.030783242258652,0.0333333333333333,2025-05-10 15:02:00,2025-05-10 16:05:00,363012,61
22651,917,917,41,BYD Atto 3 Dynamic,22651,49.92,54.02589583333334,1.082249515892094,1.05,9.0,100.0,91.0,20.0,80.0,60.0,0.0285974499089253,0.0333333333333333,2025-05-11 02:00:00,2025-05-11 03:05:00,363012,61
22657,evc1707,1707,46,BYD Han Performance,22657,85.44,94.43308680555556,1.10525616579536,1.05,16.0,100.0,84.0,20.0,80.0,60.0,0.022495446265938,0.0333333333333333,2025-05-11 03:17:00,2025-05-11 04:34:00,363012,61
22689,1140,1140,40,BYD Dolphin GLX,22689,44.9,48.94659722222222,1.0901246597376888,1.05,7.0,99.0,92.0,20.0,80.0,60.0,0.02959927140255,0.0333333333333333,2025-05-11 09:18:00,2025-05-11 10:24:00,363012,61
22694,0CCC478CED55,1374,40,BYD Dolphin GLX,22694,44.9,62.46414236111111,1.3911835715169512,1.05,12.0,100.0,88.0,20.0,80.0,60.0,0.0306921675774134,0.0333333333333333,2025-05-11 10:28:00,2025-05-11 11:30:00,363012,61
22701,0CCC47893F63,847,42,BYD Atto 3 Premium,22701,60.48,64.90365277777776,1.0731424070399764,1.05,16.0,100.0,84.0,20.0,80.0,60.0,0.0330054644808743,0.05,2025-05-11 11:42:00,2025-05-11 12:37:00,363012,61
22707,0CCC478B9622,1080,40,BYD Dolphin GLX,22707,44.9,10.496935200227911,0.2337847483346974,0.7,0.0,94.0,94.0,20.0,80.0,60.0,0.9936171823716458,1.183333417971935,2025-05-11 13:02:00,2025-05-11 13:24:00,628886,61
22711,evc-1434,1434,44,BYD Seal Perfomance,22711,82.56,52.38756584378102,0.6345393149682779,0.7,0.0,100.0,100.0,20.0,80.0,60.0,0.0946471591546004,0.4833333525392752,2025-05-11 13:40:00,2025-05-11 14:38:00,628886,61
22717,evc1711,1711,45,BYD M6 Performance,22717,55.4,29.56992537776106,0.533753165663557,0.7,0.0,100.0,100.0,20.0,80.0,60.0,0.4647437901637521,0.8666667630937471,2025-05-11 14:24:00,2025-05-11 15:13:00,628885,61
22781,evc1621,1621,45,BYD M6 Performance,22781,55.4,63.27080902777778,1.1420723651223426,1.05,15.0,84.0,69.0,20.0,80.0,60.0,0.0258652094717668,0.0333333333333333,2025-05-12 04:28:00,2025-05-12 05:15:00,1332152,61
22802,0CCC478CED55,1374,40,BYD Dolphin GLX,22802,44.9,63.30980555555555,1.410017941103687,1.05,18.0,100.0,82.0,20.0,80.0,60.0,0.0285974499089253,0.0333333333333333,2025-05-12 07:44:00,2025-05-12 08:44:00,363013,61
22846,0CCC478B9622,1080,40,BYD Dolphin GLX,22846,44.9,48.05923567708333,1.0703615963715665,1.05,0.0,93.0,93.0,20.0,80.0,60.0,0.1274402657237758,0.5333333333333333,2025-05-12 16:35:00,2025-05-12 17:20:00,628886,61
22858,evc1711,1711,45,BYD M6 Performance,22858,55.4,36.63600822951362,0.661299787536347,0.7,0.0,99.0,99.0,20.0,80.0,60.0,0.3233032398243743,0.7500000447034862,2025-05-13 00:22:00,2025-05-13 01:09:00,628886,61
22869,evc1854,1854,45,BYD M6 Performance,22869,55.4,38.90805894947298,0.7023115333839889,0.7023115333839889,0.0,97.0,97.0,20.0,80.0,60.0,0.2702599765426285,0.7000000417232538,2025-05-13 02:02:00,2025-05-13 02:47:00,628886,61
22963,evc1796,1796,45,BYD M6 Performance,22963,55.4,41.45509129819902,0.7482868465378885,0.7482868465378885,0.0,100.0,100.0,20.0,80.0,60.0,0.2009016381498898,0.6333333584997399,2025-05-13 14:41:00,2025-05-13 15:49:00,628886,61
22964,0CCC478B9622,1080,40,BYD Dolphin GLX,22964,44.9,35.8382666438394,0.7981796579919688,0.7981796579919688,0.0,85.0,85.0,20.0,80.0,60.0,0.285674445353532,0.733333391613435,2025-05-13 14:52:00,2025-05-13 15:44:00,628885,61
22978,evc1711,1711,45,BYD M6 Performance,22978,55.4,30.34631286926085,0.5477673803115676,0.7,0.0,99.0,99.0,20.0,80.0,60.0,0.4673547886220856,0.8666667630937471,2025-05-13 23:58:00,2025-05-14 00:38:00,628886,61
23073,evc1711,1711,45,BYD M6 Performance,23073,55.4,55.37667677289844,0.9995790031209104,0.9995790031209104,0.0,100.0,100.0,20.0,80.0,60.0,0.0646792150727512,0.4333333367771573,2025-05-14 14:09:00,2025-05-14 15:18:00,628886,61
23075,0CCC47891E7D,819,42,BYD Atto 3 Premium,23075,60.48,65.26301388888889,1.0790842243533216,1.05,11.0,100.0,89.0,20.0,80.0,60.0,0.0296539162112932,0.05,2025-05-14 14:22:00,2025-05-14 15:22:00,363012,61
23077,0CCC478B9622,1080,40,BYD Dolphin GLX,23077,44.9,38.305749968719134,0.8531347431785999,0.8531347431785999,0.0,90.0,90.0,20.0,80.0,60.0,0.2519755900366658,0.7000000417232538,2025-05-14 14:39:00,2025-05-14 15:34:00,628885,61
